country,countryname,oecdmember,eumember,edate,date,party,partyname,partyabbrev,parfam,coderid,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,corpusversion,total,peruncod,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,per1011,per1012,per1013,per1014,per1015,per1016,per1021,per1022,per1023,per1024,per1025,per1026,per1031,per1032,per1033,per2021,per2022,per2023,per2031,per2032,per2033,per2041,per3011,per3051,per3052,per3053,per3054,per3055,per4011,per4012,per4013,per4014,per4121,per4122,per4123,per4124,per4131,per4132,per5021,per5031,per5041,per5061,per6011,per6012,per6013,per6014,per6061,per6071,per6072,per6081,per7051,per7052,per7061,per7062,per103_1,per103_2,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per416_1,per416_2,per601_1,per601_2,per602_1,per602_2,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per703_1,per703_2,rile,planeco,markeco,welfare,intpeace,datasetversion,id_perm
31,France,0,0,1951-06-17,195106,31621,Rally for the French People - Gaullists,RPF,60,106,999,1982,NA,NA,21.567,0,NA,107,544,1,10,,116,1.724,11.207,0,2.586,12.069,0,1.724,4.31,1.724,5.172,0,1.724,1.724,0,5.172,0,0.862,0,0,14.655,1.724,1.724,1.724,0,0,0,0,1.724,0.862,1.724,0,0,0,0,0,0,0,0.862,0.862,0,0,5.172,0,3.448,0,4.31,0,2.586,0,0,1.724,0,0,0,2.586,0,4.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1.724,1.724,0.862,1.724,2021a,WJC4RE
31,France,0,0,1951-06-17,195106,31622,National Centre of Independents and Peasants - Conservatives,CNIP,60,998,998,NA,NA,NA,13.89,0,NA,87,544,3,10,,303.5,8.718,5.978,0,0.137,3.838,0.62,0.687,2.816,0,0,0,3.29,1.581,0,0.8260000000000001,2.893,0,0.8240000000000001,0,10.104,3.773,1.86,1.439,0.207,0,0.413,0,5.567,0.62,2.268,4.871,0,0,5.911,0,0,0,1.166,1.648,1.646,0.8260000000000001,2.812,0,3.092,0,6.108000000000001,0,1.653,0.548,0.413,0,1.442,0,4.467000000000001,2.535,0.757,1.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.203,1.646,9.684000000000001,3.294,1.307,2021a,L9XKUC
31,France,0,10,1956-01-02,195601,31220,French Communist Party,PCF,20,106,999,1982,NA,NA,25.659,0,NA,147,544,1,10,,353,0.85,0.5670000000000001,0,1.7,0,0.85,5.949,0,0,2.55,0.283,1.7,0.5670000000000001,0,1.983,0,0,0,0,27.479,0,0,3.683,0,0,0,0,0,0,0,0.85,0.283,0.283,0,0,0,0,0.5670000000000001,4.249,7.932,0,3.399,0,0,16.714,1.7,0.283,0,0,0,0,5.382,0,1.133,0.5670000000000001,0,8.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,3.966,0,12.181,6.799,2021a,IN74TU
31,France,0,10,1956-01-02,195601,31320,French Section of the Workers' International,SIFO,30,106,999,1982,NA,NA,15.111,0,NA,88,544,1,10,,246,2.846,6.504,0,0,0,1.22,3.252,3.252,2.439,0,0,3.659,4.472,0,1.626,0.407,0,0.407,0.407,3.252,0,0.407,7.317,3.252,0,0,2.033,2.846,0.407,3.252,1.626,2.033,3.659,0,0,0,0,0.8130000000000001,8.943,9.756,0,9.756,0,0,0.407,0,0,0,0,0.8130000000000001,0,2.439,0,2.033,1.626,1.22,1.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-41.057,12.602,0,18.699,4.472,2021a,R9NLTK
31,France,0,10,1956-01-02,195601,31421,Radical Socialist Party,RRRS,40,106,999,1982,NA,NA,15.018,0,NA,73,544,1,10,,75,2.667,2.667,0,1.333,0,0,4,4,2.667,0,0,0,2.667,0,2.667,1.333,0,0,4,9.333,1.333,4,1.333,1.333,0,0,0,4,0,2.667,4,0,0,1.333,0,0,0,0,4,5.333,0,8,0,1.333,0,4,0,0,0,0,0,0,0,10.667,2.667,0,6.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.667,2.667,2.667,9.333,4,2021a,VS7MWD
31,France,0,10,1956-01-02,195601,31521,Popular Republican Movement,MRP,50,106,999,1982,NA,NA,11.011,0,NA,71,544,1,10,,146,4.11,4.11,0,1.37,1.37,0,3.425,0.685,5.479,0.685,0,2.055,4.795,0,1.37,0.685,0,0.685,0.685,8.904,2.055,1.37,2.74,1.37,0,0,0,5.479,2.055,3.425,2.055,0.685,0,2.74,0,0,0,1.37,3.425,4.11,0,4.795,0,1.37,0,8.219,0,0,1.37,0,0,2.055,0,4.11,1.37,1.37,2.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.425,4.795,4.795,7.534,3.425,2021a,R9IX3G
31,France,0,10,1956-01-02,195601,31621,Rally for the French People - Gaullists,RPF,60,998,998,NA,NA,NA,3.92,0,NA,16,544,3,10,,191,0.862,9.903,0,1.293,7.534,0,1.812,2.155,0.862,5.586,1.3,3.112,3.312,4.15,2.586,0.75,0.431,0.75,0,10.528,1.412,2.162,1.812,2.05,0,1.15,0,1.812,0.431,2.362,2.25,0,0,0.9500000000000001,0,0,0,0.8310000000000001,2.681,0,0,4.086,0,3.774,0,2.905,0,1.293,1.15,0.55,0.862,0.9500000000000001,0,1.15,1.693,0.55,4.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.35,3.862,2.362,2.681,1.812,2021a,HBFHNB
31,France,0,10,1956-01-02,195601,31622,National Centre of Independents and Peasants - Conservatives,CNIP,60,106,999,1982,NA,NA,15.159,0,NA,95,544,1,10,,242,7.025,7.025,0,0,0.8260000000000001,1.24,0.8260000000000001,2.893,0,0,0,0.8260000000000001,2.066,0,1.653,5.785,0,0.8260000000000001,0,12.81,2.066,3.719,0.413,0.413,0,0.8260000000000001,0,7.025,1.24,2.893,2.893,0,0,7.438,0,0,0,0.413,1.653,0.8260000000000001,1.653,1.24,0,3.719,0,4.545,0,3.306,0,0.8260000000000001,0,1.24,0,5.372,0.413,1.24,0.8260000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.926,0.8260000000000001,9.504,2.479,2.066,2021a,UHPU46
31,France,0,10,1956-01-02,195601,31623,Union for the Defence of Traders and Artisans - Poujadists,UDCA,60,106,999,1982,NA,NA,11.558,0,NA,51,544,1,10,,219,10.046,12.329,0,0,0,0,0,0,0,5.479,0,2.74,4.566,0.457,0.913,0,0,0.457,10.046,24.201,0,0,1.826,0,0,0,0,0,0,0,0,0,0,2.283,0,0,0,0,1.37,1.37,0,0,0,0.457,5.023,0.913,0,0,1.37,0,0,3.196,0,1.826,5.936,0,3.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.461,1.826,2.283,2.74,0,2021a,E24N4Z
31,France,0,10,1958-11-23,195811,31220,French Communist Party,PCF,20,106,999,1982,NA,NA,18.886,0,NA,10,465,1,10,,72,0,4.2,2.8,8.3,0,6.9,9.700000000000001,0,0,2.8,0,4.2,5.600000000000001,0,5.600000000000001,0,0,0,0,0,0,0,2.8,0,0,0,0,2.8,0,1.4,2.8,2.8,5.600000000000001,0,0,0,0,2.8,0,4.2,0,2.8,0,0,2.8,0,0,0,0,0,0,6.9,0,2.8,2.8,2.8,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-51.4,5.600000000000001,0,4.2,19.4,2021a,3POCDK
